dataset_key,dataset_label,delay_order,K,tau,theta,sse
sine,Sine Wave Test for Heater 1,2,0.5,143.33333333333334,20.0,120025.33847577199
sine,Sine Wave Test for Heater 1,2,0.5,143.33333333333334,20.833333333333336,119949.10512389173
sine,Sine Wave Test for Heater 1,2,0.5,143.33333333333334,21.666666666666668,119896.32635992338
sine,Sine Wave Test for Heater 1,2,0.5,143.33333333333334,22.5,119866.5953047888
sine,Sine Wave Test for Heater 1,2,0.5,143.33333333333334,23.333333333333336,119859.48084837665
sine,Sine Wave Test for Heater 1,2,0.5,143.33333333333334,24.166666666666668,119874.52920435675
sine,Sine Wave Test for Heater 1,2,0.5,143.33333333333334,25.0,119911.26548503072
sine,Sine Wave Test for Heater 1,2,0.5,143.33333333333334,25.833333333333336,119969.19528941234
sine,Sine Wave Test for Heater 1,2,0.5,143.33333333333334,26.666666666666668,120047.80629792702
sine,Sine Wave Test for Heater 1,2,0.5,143.33333333333334,27.5,120146.56986731838
sine,Sine Wave Test for Heater 1,2,0.5,143.33333333333334,28.333333333333336,120264.94261962874
