beta_1,beta_2,beta_3,beta_4,A,D,E,ME,obj,delay,period,run
0.018470463,0.045786419,0.037360292,0.011816336,6.694999256,13.18117827,-0.948590091,7.635250922,169.0731822,12,0.5,2
0.016720716,0.039184916,0.040370606,0.01081053,6.709335834,13.33200347,-0.809914995,7.511811665,169.1748532,12,0.5,3
0.013947165,0.102825891,0.112872217,0.009401255,6.746305197,14.62137791,-0.128166275,6.864516118,412.1031525,12,2,1
0.016558713,0.12990463,0.100044029,0.010830752,6.719304889,14.42106053,-0.251755113,6.959416164,198.3759384,12,2,2
0.015491572,0.113285215,0.102874746,0.010205423,6.729072242,14.53963279,-0.187706547,6.905983124,287.1572445,12,2,3
0.012976032,0.120302769,0.123424885,0.009825172,6.872659068,15.27818973,0.11265766,6.741094883,98.38763095,12,5,1
0.014570862,0.144060179,0.122838261,0.010539343,6.839770791,15.08011961,0.040836247,6.778262131,39.14713272,12,5,2
0.013340995,0.117018961,0.124169513,0.009481716,6.827650658,15.13369654,0.07656224,6.732089468,84.07079509,12,5,3
0.015830371,0.082666123,0.066764289,0.012052367,6.83400814,13.47567603,-0.614551862,7.439516266,20.68168337,12,0,1
0.013754965,0.068108448,0.072446588,0.010332807,6.822304375,13.51734537,-0.531654943,7.345958902,16.72441402,12,0,2
0.01759523,0.051900544,0.04806527,0.01212727,6.774400748,13.32625703,-0.766435435,7.533150223,23.17478706,12,0,3
0.018162771,0.038294043,0.035464334,0.011722842,6.710239857,13.21274422,-0.950780314,7.653325427,199.9709921,13,0.5,1
0.019309974,0.046893289,0.036329183,0.012347952,6.69600346,13.13799113,-0.99885384,7.686419421,208.4078417,13,0.5,2
0.017763028,0.036796512,0.035483374,0.011366888,6.701398062,13.19178803,-0.94383817,7.637659857,188.6631162,13,0.5,3
0.018355189,0.183004147,0.120525624,0.012380126,6.750031068,14.37155581,-0.23629059,6.973827558,447.6929919,13,2,1
0.021072874,0.206366908,0.106008154,0.013655525,6.712731976,14.08939647,-0.41084377,7.109781358,184.3749749,13,2,2
0.019268493,0.180542092,0.110459616,0.012576526,6.722299122,14.25745091,-0.30743086,7.016891931,277.9413995,13,2,3
0.01623594,0.17961956,0.123690608,0.012178218,6.870576204,15.06467874,0.001436748,6.846671284,77.64465795,13,5,1
0.018518706,0.238349909,0.135408165,0.013397081,6.845344053,14.77387291,-0.097923542,6.918749542,40.43147716,13,5,2
0.016802574,0.192702024,0.133584511,0.011944283,6.833216228,14.89380083,-0.024706446,6.835057997,87.31891207,13,5,3
0.018061527,0.109092986,0.0703546,0.013751978,6.835652408,13.32076241,-0.692832538,7.518561854,21.09505545,13,0,1
0.015331837,0.089699834,0.077228956,0.01151826,6.823681026,13.40808477,-0.568783478,7.383694471,17.44530304,13,0,2
0.019201523,0.063987487,0.050354632,0.013235983,6.775176878,13.23559935,-0.808075239,7.575048467,24.93202438,13,0,3
0.017822095,0.034557803,0.033849692,0.011384955,6.700811281,13.15314449,-0.98450233,7.677792161,215.6503905,14,0.5,1
0.018487112,0.041430544,0.035095924,0.011699221,6.686035551,13.10315654,-1.002842564,7.680725566,226.0353662,14,0.5,2
0.017967188,0.037446943,0.035810634,0.011492975,6.701732007,13.19286736,-0.94173003,7.635893849,225.6880218,14,0.5,3
0.025572356,0.343280696,0.135226721,0.017090834,6.744696178,13.85635838,-0.475786298,7.205178753,427.4510182,14,2,1
0.03042529,0.365643933,0.111499714,0.019528887,6.707136017,13.5119388,-0.722462073,7.413105816,170.4528276,14,2,2
0.027840738,0.341769005,0.121458218,0.018179636,6.726632584,13.74035798,-0.574350019,7.285249535,298.1673933,14,2,3
0.021816432,0.313714509,0.136777665,0.016366622,6.877025896,14.65126667,-0.208281746,7.058470313,79.71870883,14,5,1
0.028242778,0.472656778,0.147600713,0.020434342,6.853680664,14.16058844,-0.449772922,7.273314259,41.52736503,14,5,2
0.021421133,0.295868806,0.141243818,0.015069535,6.830294653,14.55538932,-0.199906115,7.003650252,68.17814557,14,5,3
0.01921615,0.144052542,0.082928689,0.014632063,6.83597636,13.17030869,-0.710192448,7.53572174,21.63986179,14,0,1
0.010460527,0.053936873,0.105074444,0.007788829,6.808767805,13.33993131,-0.509317348,7.311877906,16.39976319,14,0,2
0.017679115,0.057270837,0.051884556,0.012071797,6.765182807,13.27492028,-0.748580888,7.505989633,22.70156538,14,0,3
0.017380086,0.031347759,0.032734912,0.010987789,6.691106854,13.10528287,-1.004925044,7.688689235,227.3888811,15,0.5,1
0.017700458,0.036846555,0.034130226,0.01108091,6.675579555,13.07088404,-1.004059977,7.671753337,238.5239356,15,0.5,2
0.017676302,0.034105906,0.034278409,0.011190349,6.692204275,13.13346592,-0.975012245,7.659797775,238.2698192,15,0.5,3
0.052233505,0.908392183,0.145055366,0.034572909,6.741383784,12.65267923,-1.167105828,7.889101919,403.646795,15,2,1
0.068304946,1.016494808,0.118302985,0.043854568,6.713249019,12.09356411,-1.58527135,8.278334104,179.4741242,15,2,2
0.053443291,0.827095414,0.130080567,0.034563637,6.722544808,12.60804667,-1.223277879,7.926523886,279.2718026,15,2,3
0.043285765,0.731265557,0.133247457,0.032476661,6.888071922,13.63613188,-0.886559338,7.740805379,81.21449258,15,5,1
0.05456415,1.033442153,0.146702821,0.0390854,6.854567632,13.07978519,-1.175669809,7.994395811,35.53765095,15,5,2
0.037579006,0.666870711,0.151111802,0.026439395,6.840049755,13.70384047,-0.726243522,7.533100938,69.41570332,15,5,3
0.018498047,0.128726851,0.079063831,0.013965801,6.827383957,13.20658667,-0.696634882,7.513847848,20.95126063,15,0,1
0.017104838,0.109037226,0.077796157,0.012737066,6.81659524,13.27221055,-0.642719046,7.449819497,16.98596476,15,0,2
0.019946639,0.072608941,0.053185958,0.013621713,6.766449994,13.15118767,-0.82421062,7.582203397,24.29565999,15,0,3
